diff_temp, diff_vazao, out_hot, out_cold
-10.0,-1.2000000000000899E-4,0.5,0.5
-9.980262696583615,-1.195225925804122E-4,0.5,0.5
-9.960681236176978,-1.1904708470278358E-4,0.5,0.5
-9.94125438804561,-1.1857346880750352E-4,0.5,0.5
-9.921980931177064,-1.1810173736437335E-4,0.5,0.5
-9.902859654204125,-1.1763188287394755E-4,0.5,0.5
-9.883889355328563,-1.1716389786631254E-4,0.5,0.5
-9.865068842245524,-1.1669777490130873E-4,0.5,0.5
-9.846396932068512,-1.1623350656830844E-4,0.5,0.5
-9.827872451254954,-1.1577108548654902E-4,0.5,0.5
-9.809494235532384,-1.1531050430424461E-4,0.5,0.5
-9.791261129825148,-1.1485175569891926E-4,0.5,0.5
-9.773171988181762,-1.1439483237762893E-4,0.5,0.5
-9.755225673702796,-1.1393972707607336E-4,0.5,0.5
-9.737421058469337,-1.134864325589291E-4,0.5,0.5
-9.719757023472042,-1.1303494161996053E-4,0.5,0.5
-9.702232458540717,-1.1258524708135376E-4,0.5,0.5
-9.684846262274469,-1.121373417937166E-4,0.5,0.5
-9.667597341972431,-1.1169121863685572E-4,0.5,0.5
-9.650484613564988,-1.1124687051788928E-4,0.5,0.5
-9.633507001545574,-1.1080429037324535E-4,0.5,0.5
-9.61666343890304,-1.1036347116633038E-4,0.5,0.5
-9.599952867054473,-1.099244058896387E-4,0.5,0.5
-9.583374235778649,-1.0948708756308712E-4,0.5,0.5
-9.566926503149919,-1.0905150923423701E-4,0.5,0.5
-9.550608635472688,-1.0861766397851635E-4,0.5,0.5
-9.53441960721636,-1.0818554489866461E-4,0.5,0.5
-9.518358400950827,-1.0775514512573192E-4,0.5,0.5
-9.502424007282478,-1.073264578169697E-4,0.5,0.5
-9.486615424790678,-1.0689947615760698E-4,0.5,0.5
-9.47093165996477,-1.064741933598512E-4,0.5,0.5
-9.455371727141586,-1.060506026626662E-4,0.5,0.5
-9.439934648443415,-1.0562869733232727E-4,0.5,0.5
-9.424619453716517,-1.0520847066186612E-4,0.5,0.5
-9.40942518047007,-1.047899159706267E-4,0.5,0.5
-9.394350873815622,-1.043730266048204E-4,0.5,0.5
-9.379395586407036,-1.0395779593730392E-4,0.5,0.5
-9.364558378380892,-1.0354421736724628E-4,0.5,0.5
